from	statement	to	subkey
8	Stems cylindric, the internodes generally hollow; nodes swollen, knot-like; leaves 2-ranked or not in obvious ranks; each spikelet generally with 2 bractlets [glumes] at base that do not directly subtend flower parts; each flower generally enclosed by 2 additional bractlets [lemma and palea]; perianth of 2 tiny scales or 0; fruit a grain	Poaceae	Family Group 13
9	Plant raft-like, free-floating or stranded on shore or drying mud, either plant body 0.4--10 mm, not differentiated into stems and leaves with roots unbranched or 0, or plant with floating rosette of widely wedge-shaped, velvety-hairy leaves and many fine, branched roots	Araceae	Family Group 13
9	Plant not raft-like, generally rooted, >> 1 cm, differentiated into stems and leaves, not forming floating rosettes; roots generally present, often branched; leaves linear, glabrous	10	Family Group 13
10	Leaves opposite or whorled (occasionally alternate at some nodes), all cauline	11	Family Group 13
10	Leaves alternate, basal and/or cauline	12	Family Group 13
11	Leaf coarsely to finely toothed (teeth sometimes appearing +- 0 to naked eye); stipules 0 (leaf base may have ear-like lobes); fruit without a stiff beak	Hydrocharitaceae	Family Group 13
11	Leaf entire; stipules fused to blade or free, membranous, entire; fruit with a stiff beak	Zannichelliaceae	Family Group 13
12	Leaves all +- basal, sheaths overlapping and blades emerging at different levels, but stem internodes very short, not evident --- pistillate flowers paired, axillary, submersed, style 6--20 cm, thread-like, stigma floating, head-like; staminate and bisexual flowers in peduncled spike	Juncaginaceae	Family Group 13
12	Leaves basal and cauline or all cauline, stem internodes evident	13	Family Group 13
13	Inflorescence a dense, spheric head	Typhaceae	Family Group 13
13	Inflorescence a spike or flowers solitary	14	Family Group 13
14	Inflorescence a flattened spike enwrapped by a sheathing bract; subtidal or intertidal seawater or brackish water of bays and estuaries	Zosteraceae	Family Group 13
14	Inflorescence a cylindric spike, short- to long-stalked; freshwater, brackish, or inland saltwater habitat --- carpels actually free but easily misinterpreted	15	Family Group 13
15	Sepals 4; stamens 4; fruits sessile; fresh water in lakes, streams, ponds	Potamogetonaceae	Family Group 13
15	Sepals 0; stamens 2; fruits on thread-like stalks; fresh to brackish or salt water in coastal to inland areas	Ruppiaceae	Family Group 13
1	Plant parasite on stem of woody host	2	Family Group 14
1	Plant free-living and rooted in ground or root-parasite	3	Family Group 14
2	Flowers of parasite emerging directly from stem of host, parasite otherwise growing within tissues of host; leaves 0; on _Psorothamnus_	Apodanthaceae	Family Group 14
2	Flowers of parasite borne in inflorescences on branches of parasite; leaves scale-like or with expanded blades; on various woody hosts [not _Psorothamnus_]	Viscaceae	Family Group 14
3	Leaf blade 1--2+ m, covered with prickles --- perianth actually of 2 whorls but petals very small, easily overlooked	Gunneraceae	Family Group 14
3	Leaf blade << 1 m, not prickly	4	Family Group 14
4	Leaves [at least proximal] whorled, all cauline	5	Family Group 14
4	Leaves alternate or opposite (or sometimes some or all basal)	8	Family Group 14
5	Plant terrestrial	Rubiaceae	Family Group 14
5	Plant +- aquatic	6	Family Group 14
6	Leaves entire	Plantaginaceae	Family Group 14
6	Leaves toothed to deeply divided	7	Family Group 14
7	Leaves repeatedly forked	Ceratophyllaceae	Family Group 14
7	Leaves [at least submersed] pinnately divided	Haloragaceae	Family Group 14
8	Inflorescence bracts large, petal-like; perianth 0 --- inflorescence a flower-like spike	Saururaceae	Family Group 14
8	Inflorescence bracts not at all petal-like; perianth present	9	Family Group 14
9	Perianth parts free or nearly so	10	Family Group 14
9	Perianth parts fused	18	Family Group 14
10	Leaves glabrous, round-peltate or -reniform; plant aquatic with stolons or rhizomes floating in shallow water or rooted in wet soil	Araliaceae	Family Group 14
10	Leaves glabrous or hairy, leaf shape various; plant terrestrial if leaves round-reniform	11	Family Group 14
11	Inflorescence a simple or compound umbel	Apiaceae	Family Group 14
11	Inflorescence various or flowers solitary	12	Family Group 14
12	Plant aquatic, floating, stranded on mud, or rooted in bottom sediments	13	Family Group 14
12	Plant terrestrial or sometimes growing in damp soil	14	Family Group 14
13	Sepals, stamens 5; pedicel 1--4(8) mm; leaves alternate (sometimes +- opposite or whorled), blade linear	Campanulaceae	Family Group 14
13	Sepals, stamens 4; pedicel 0--0.5 mm; leaves opposite, blade narrowly elliptic to +- ovate	Onagraceae	Family Group 14
14	Leaves all basal	Saxifragaceae	Family Group 14
14	Leaves cauline, at least in part	15	Family Group 14
15	Fruit an achene; sepals 3--5; leaves alternate, +- entire, petiole +- = blade	Chenopodiaceae	Family Group 14
15	Fruit a capsule or +- nut-like [hard, indehiscent, 3--9-seeded with 2--5-horns]; sepals 3--9; leaves alternate or opposite, entire to pinnately lobed, petiole often < blade	16	Family Group 14
16	Perennial herb; stems erect; leaves generally unequally pinnately lobed; styles long, forked	Datiscaceae	Family Group 14
16	Annual; stems prostrate to erect; leaves entire or toothed; styles short, not forked	17	Family Group 14
17	Styles 2--9; leaves +- fleshy, often +- papillate	Aizoaceae	Family Group 14
17	Style 1; leaves not fleshy, not papillate	Campanulaceae	Family Group 14
18	Inflorescence of involucred heads or umbels	19	Family Group 14
18	Inflorescence not of involucred heads or umbels, flowers solitary or variously clustered	20	Family Group 14
19	Ovary truly inferior; anthers fused around style or, if free, the flowers unisexual; stigma lobes 2	Asteraceae	Family Group 14
19	Ovary actually superior, but appearing inferior [tightly enclosed by perianth base]; anthers free; stigma unlobed	Nyctaginaceae	Family Group 14
20	Flowers large, solitary, red to maroon or brown; perianth lobes 3 --- leaves cordate to reniform, long-petioled	Aristolochiaceae	Family Group 14
20	Flowers generally +- small, generally clustered, not red to maroon or brown; perianth lobes (3)4--5(7)	21	Family Group 14
21	Leaves alternate	22	Family Group 14
21	Leaves opposite	23	Family Group 14
22	Tendrils 0; leaves entire; flowers bisexual	Comandraceae {Comandra umbellata subsp. californica}	Family Group 14
22	Tendrils present; leaves palmately lobed; flowers unisexual	Cucurbitaceae	Family Group 14
23	Flowers bilateral	Valerianaceae	Family Group 14
23	Flowers +- radial	24	Family Group 14
24	Perianth lobes 5; ovary actually superior [tightly enwrapped by hardened or winged calyx base]; leaves of a pair equal or unequal	25	Family Group 14
24	Perianth lobes 3--4; ovary truly inferior; leaves of a pair equal	26	Family Group 14
25	Calyx green, not at all corolla-like, very inconspicuous; sepals erect, free or nearly so above the level of the ovary, thickened and linear, erect; leaves narrowly linear, needle-like, generally 1--2 cm or shorter, generally those of a pair equal	Caryophyllaceae	Family Group 14
25	Calyx corolla-like in color and texture, often very showy; sepals fused well above level of ovary, calyx lobes wide and thin, +- spreading; leaves linear to ovate, often > 2 cm, those of a pair often unequal	Nyctaginaceae	Family Group 14
26	Stamens 3--4; leaves entire or teeth minute, prickle-like	Rubiaceae	Family Group 14
26	Stamens 8; leaves with rounded teeth	Saxifragaceae	Family Group 14
1	Leaves opposite or whorled	2	Family Group 15
1	Leaves alternate or all basal	25	Family Group 15
2	Plant aquatic, weak-stemmed; submersed, floating, or stranded on mud	3	Family Group 15
2	Plant terrestrial, sometimes in damp soil, or in areas flooded at high tide	6	Family Group 15
3	Leaves opposite; ovary lobed or unlobed; seeds 4--many	4	Family Group 15
3	Leaves whorled; ovary unlobed; seed 1	5	Family Group 15
4	Ovary unlobed, many-seeded	Lythraceae	Family Group 15
4	Ovary 2- or 4-lobed, 4-seeded	Plantaginaceae	Family Group 15
5	Leaves dissected into narrow lobes	Ceratophyllaceae	Family Group 15
5	Leaves entire	Plantaginaceae	Family Group 15
6	Ovary chambers 2 or more (doubtful cases should be keyed both ways)	7	Family Group 15
6	Ovary chamber 1	10	Family Group 15
7	Flowers unisexual	8	Family Group 15
7	Flowers bisexual	9	Family Group 15
8	Style 0, stigma sessile; leaves +- cylindric or 3-angled in &times;-section, fleshy; milky latex 0; plants of coastal salt-marshes	Bataceae	Family Group 15
8	Styles or stigmas 2--3, free; leaves thin; milky latex present or 0; plants of various habitats but not salt marsh	Euphorbiaceae	Family Group 15
9	Leaves opposite, equal; fruit circumscissile --- 1/2-inferior ovary may appear superior	Aizoaceae	Family Group 15
9	Leaves whorled, often unequal; fruit loculicidal	Molluginaceae	Family Group 15
10	Ovules 2--many; fruit a capsule	11	Family Group 15
10	Ovule 1; fruit an achene, 1-seeded capsule, or utricle	14	Family Group 15
11	Perianth parts 6(8) --- sepals actually present in bud, but early-deciduous, 0 in open flower	Papaveraceae	Family Group 15
11	Perianth parts (4)5	12	Family Group 15
12	Sepals free; flowers generally in cymes	Caryophyllaceae	Family Group 15
12	Sepals fused; flowers solitary in leaf axils	13	Family Group 15
13	Leaves of a pair unequal; stipules present; fruit circumscissile	Aizoaceae	Family Group 15
13	Leaves of a pair equal; stipules 0; fruit 5-valved	Myrsinaceae	Family Group 15
14	Style 1, undivided or stigma 1, sessile	15	Family Group 15
14	Styles or style branches 2 or more	17	Family Group 15
15	Sepals petal-like, fused into a tube; leaves entire or slightly lobed, stinging hairs 0	Nyctaginaceae	Family Group 15
15	Sepals green, small, inconspicuous; leaves toothed or entire, sometimes with stinging hairs	16	Family Group 15
16	Herbage densely covered with branched hairs	Amaranthaceae	Family Group 15
16	Herbage glabrous or +- hairy, hairs not branched (stinging hairs present in _Hesperocnide_, _Urtica_)	Urticaceae	Family Group 15
17	Leaves palmately compound or deeply lobed	Cannabaceae	Family Group 15
17	Leaves simple, entire or toothed	18	Family Group 15
18	Fruit a 3-angled achene; perianth parts 6 [actually in 2 whorls of 3, but this may not be evident in open flowers]	Polygonaceae	Family Group 15
18	Fruit not 3-angled; perianth parts <= 5	19	Family Group 15
19	Leaves with stipules	20	Family Group 15
19	Leaves without stipules	21	Family Group 15
20	Leaves petioled, fleshy; fruit a circumscissile capsule	Aizoaceae	Family Group 15
20	Leaves sessile, not fleshy; fruit 1-seeded, indehiscent	Caryophyllaceae	Family Group 15
21	Leaves reduced to fleshy scales; inflorescence a fleshy spike	Chenopodiaceae	Family Group 15
21	Leaves linear to ovate; inflorescences various or flowers solitary	22	Family Group 15
22	Sepals erect, linear, fused below and hardened around ovary; stamens fused to calyx; slender annual, generally <= 15 cm; leaves narrowly linear, <= 15 mm	Caryophyllaceae	Family Group 15
22	Sepals erect or spreading, free, not hardened around ovary (sepals generally 0 in pistillate flowers of _Atriplex_, which has a pair of +- hardened bractlets around fruit); stamens free from calyx; plants often larger, annual or perennial herb; leaves various	23	Family Group 15
23	Bracts subtending flowers dry, scarious; plants neither fleshy nor with powdery or beaded surface; habitats generally not saline	Amaranthaceae	Family Group 15
23	Bracts subtending flowers leaf-like or fleshy; plants often fleshy or with powdery or beaded surface; habitats often +- saline	24	Family Group 15
24	Sepals pink or white, papery; plant from rhizome	Amaranthaceae	Family Group 15
24	Sepals green or +- red-tinged, herbaceous; rhizome 0	Chenopodiaceae	Family Group 15
25	Plant aquatic, raft-like, floating on water surface or stranded on shoreline --- leaves in rosettes, wedge-shaped, sessile, velvety; flowers enclosed by small, sheathing bracts	Araceae	Family Group 15
25	Plant terrestrial or rooted in shallow water	26	Family Group 15
26	Inflorescence a +- fleshy spike enclosed by a large, basally sheathing, often petal-like bract; petiole stout	Araceae	Family Group 15
26	Inflorescence various but not a fleshy spike subtended by a sheathing bract; leaves sessile or +- slender-petioled	27	Family Group 15
27	Leaves with stipules, generally well developed	28	Family Group 15
27	Leaves without stipules, sometimes reduced to scale-like bracts	35	Family Group 15
28	Style 1, unbranched, or stigma sessile	29	Family Group 15
28	Styles or stigmas 2 or more	30	Family Group 15
29	Ovule 1; fruit an achene	Rosaceae	Family Group 15
29	Ovules several to many; fruit a capsule --- late season cleistogamous flowers formed in most _Viola_ species	Violaceae	Family Group 15
30	Leaves palmately compound	Cannabaceae	Family Group 15
30	Leaves simple, entire to lobed	31	Family Group 15
31	Plant a vine, stems twining	32	Family Group 15
31	Plant prostrate to erect, stems not twining	33	Family Group 15
32	Leaves toothed, at least the proximal also palmately lobed	Cannabaceae	Family Group 15
32	Leaves entire	Polygonaceae	Family Group 15
33	Stipules fused into a membranous sheath [ocrea] around stem, the sheath sometimes torn or shredded as branches develop	Polygonaceae	Family Group 15
33	Stipules free, not fused around stem, not torn or shredded as branches develop	34	Family Group 15
34	Annual; stems prostrate; stinging hairs 0; flowers bisexual	Caryophyllaceae	Family Group 15
34	Perennial herb; stems spreading to erect; stinging hairs present; flowers unisexual	Euphorbiaceae	Family Group 15
35	Inflorescence flower-like with a cup-like involucre bearing 1--4(5) nectary glands that sometimes have flattened, white to +- pink, petal-like, marginal appendages --- stamens [actually staminate flowers] each with a jointed stalk [composed of a filament and a pedicel], pistillate flower 1, generally exserted from involucre, ovary 3-lobed	Euphorbiaceae	Family Group 15
35	Inflorescence not flower-like or with a cup-like, nectary-gland-bearing involucre	36	Family Group 15
36	Perianth parts 4 or 6, +- petal-like	37	Family Group 15
36	Perianth parts <= 5, sometimes 0, generally not petal-like	38	Family Group 15
37	Perianth parts 4 or 6, free; stigmas 1--many, generally sessile; fruit a capsule --- sepals actually present in bud, but early-deciduous, 0 in open flower	Papaveraceae	Family Group 15
37	Perianth parts 6, proximally fused; stigmas 3, at tips of slender styles; fruit a 3-angled achene	Polygonaceae	Family Group 15
38	Leaves all basal, palmately compound; leaflets 3; perianth 0	Berberidaceae	Family Group 15
38	Leaves cauline, simple; perianth generally present	39	Family Group 15
39	Ovule 1; inflorescences various	40	Family Group 15
39	Ovules 2--many; inflorescence generally a raceme (spike, axillary cluster)	44	Family Group 15
40	Herbage +- densely covered with branched hairs	41	Family Group 15
40	Herbage glabrous or +- hairy, hairs not branched	42	Family Group 15
41	Flowers bisexual; hairs soft, irregularly branched, branches all short; fruit indehiscent --- leaf arrangement variable, often difficult to interpret	Amaranthaceae	Family Group 15
41	Flowers unisexual; hairs harshly stellate, central branches often long, spreading, bristle-like; fruit dehiscent	Euphorbiaceae	Family Group 15
42	Stigma 1	Urticaceae	Family Group 15
42	Stigmas 2--4	43	Family Group 15
43	Bracts subtending flowers scarious-margined or dry and scarious throughout	Amaranthaceae	Family Group 15
43	Bracts subtending flowers 0 or not scarious or scarious-margined	Chenopodiaceae	Family Group 15
44	Flowers unisexual	Euphorbiaceae	Family Group 15
44	Flowers bisexual	45	Family Group 15
45	Plant red- and white-striped, non-photosynthetic, green pigment 0	Ericaceae	Family Group 15
45	Plant green and photosynthetic	46	Family Group 15
46	Sepals 4	Brassicaceae	Family Group 15
46	Sepals 5	47	Family Group 15
47	Stems +- erect, <= 3(7) m; leaf 6--36 cm; flowers many in spike or raceme; fruit a berry, chambers 5--12; perianth radial	Phytolaccaceae	Family Group 15
47	Stems +- decumbent, 0.5--3.5 dm; leaf <= 6 cm; flowers 1--few in raceme; fruit a capsule; chambers 2; perianth bilateral --- some flowers often +- cleistogamous	Polygalaceae	Family Group 15
1	Ovary fully inferior	2	Family Group 16
1	Ovary superior or partially inferior	9	Family Group 16
2	Leaf parallel veined	3	Family Group 16
2	Leaf pinnately or palmately veined	6	Family Group 16
3	Leaves fleshy, toothed, spine-tipped	Agavaceae	Family Group 16
3	Leaves not fleshy, entire, not spine-tipped	4	Family Group 16
4	Fertile stamens 1--2, filament(s) and anther(s) wholly fused above ovary to stigma and style, forming a column; ovary with a half twist; ovules many, microscopic; seeds dust-like	Orchidaceae	Family Group 16
4	Fertile stamens 3 or more, not fused to stigma and style; ovary straight; ovules not microscopic; seeds well developed	5	Family Group 16
5	Stamens 6; leaves not 2-ranked and folded (0 at flower in _Amaryllis_); adaxial and abaxial faces both visible	Amaryllidaceae	Family Group 16
5	"Stamens 3; leaves 2-ranked, generally folded lengthwise and apparently attached ""edge-on"", only abaxial face of leaf visible"	Iridaceae	Family Group 16
6	Leaves basal, palmately veined and lobed, prickly --- petiole 1--1.5 m, blade 1--2+ m	Gunneraceae	Family Group 16
6	Leaves cauline, pinnately veined, entire or toothed, smooth	7	Family Group 16
7	Leaves opposite; petals 2, 1--1.5 mm, white; fruit indehiscent, with hooked hairs	Onagraceae	Family Group 16
7	Leaves alternate; petals 3, yellow; fruit dehiscent, without hooked hairs	8	Family Group 16
8	Petals 0.8--2.3 mm; leaves narrowly oblanceolate, 1--3 cm	Onagraceae	Family Group 16
8	Petals >= 30 mm; leaves +- elliptic, 20--55 cm	Zingiberaceae	Family Group 16
9	Stem nodes with small, dry, sometimes spiny-spurred, scale-like leaves that subtend 1--20 thread-like, needle-like, or ovate, leaf-like branchlets --- erect to sprawling herb, sub-shrub, or twining vine	Asparagaceae	Family Group 16
9	Stem nodes without small, dry, scale-like leaves that subtend leaf-like branches	10	Family Group 16
10	Leaves needle-like, abaxially grooved; low shrub	Ericaceae	Family Group 16
10	Leaves generally not needle-like, generally not abaxially grooved; herb to tree	11	Family Group 16
11	Plant submersed aquatic; leaves very thin, 1-veined, opposite or whorled; flowers generally unisexual	Hydrocharitaceae	Family Group 16
11	Plant terrestrial, or if aquatic, leaves not very thin, 1-veined, and opposite or whorled	12	Family Group 16
12	Leaf venation pinnate or palmate, smaller veins generally forming a network (occasionally only midvein evident)	13	Family Group 16
12	Leaf venation parallel, sometimes in wider leaves several larger veins originating from leaf base but smaller veins parallel to them and not forming a network	27	Family Group 16
13	Tendrils present; vine; leaves ovate --- flowers unisexual; plants dioecious	Smilacaceae	Family Group 16
13	Tendrils 0; herb, shrub, or tree (occasionally vine with twining stem); leaves various	14	Family Group 16
14	Leaves compound or deeply lobed	15	Family Group 16
14	Leaves simple	19	Family Group 16
15	Herb	16	Family Group 16
15	Shrub or tree	17	Family Group 16
16	Perennial herb; leaves basal, 2--3-ternate; petals in 2 tight whorls of 3; sepals in 4--5 whorls of 3	Berberidaceae	Family Group 16
16	Annual; leaves cauline, 1-ternate or 1-odd-pinnate; petals 3; sepals 3	Limnanthaceae	Family Group 16
17	Trunk stout, unbranched, crowned by a tight terminal rosette of very large leaves	Arecaceae	Family Group 16
17	Trunk(s) branched, with leaves < 50 cm, distributed on twigs	18	Family Group 16
18	Leaves alternate; leaflets spiny-toothed; fruit berry	Berberidaceae	Family Group 16
18	Leaves opposite; leaflets serrate; fruit winged achene	Oleaceae	Family Group 16
19	Plant woody	20	Family Group 16
19	Plant herbaceous	23	Family Group 16
20	Stamens many	Hydrangeaceae	Family Group 16
20	Stamens 2--9	21	Family Group 16
21	Leaf blade gland-dotted, aromatic; anthers dehiscing by uplifted lids; fruit fleshy	Lauraceae	Family Group 16
21	Leaf blade not gland-dotted, not aromatic; anthers dehiscing by slits; fruit dry	22	Family Group 16
22	Inner perianth parts 2, petal-like, outer minutely 4-lobed, +- green; fruit winged, 22--30 mm	Oleaceae	Family Group 16
22	Inner and outer perianth parts in 3s, all petal-like; fruit 3-angled achene, < 5 mm	Polygonaceae	Family Group 16
23	Flower bilateral, proximal portion of calyx with a protruding, hollow spur	Balsaminaceae	Family Group 16
23	Flower radial, calyx without a spur	24	Family Group 16
24	Cauline leaves in a whorl of 3 subtending 1 large terminal flower	Melanthiaceae	Family Group 16
24	Cauline leaves alternate, opposite, or whorled, sometimes reduced to bracts; flowers >> 1, small	25	Family Group 16
25	Fruit achene, (2)3-angled --- inner and outer perianth generally similar, both whorls petal-like or both sepal-like (inner perianth parts much enlarged in fruit in _Rumex_)	Polygonaceae	Family Group 16
25	Fruit capsule	26	Family Group 16
26	Leaves not fleshy; plant +- aquatic; flowers axillary; outer perianth parts 2--3, +- = inner; stigmas 3; seeds many, surface net-like, brown to yellow-brown	Elatinaceae	Family Group 16
26	Leaves fleshy; plant terrestrial; flowers in +- 1-sided raceme-, panicle-, or umbel-like cluster; outer perianth parts 2, > inner; stigmas 2; seeds 1--many, shiny, black	Montiaceae	Family Group 16
27	Shrub, tree, or densely leafy rosette plant; leaves +- sword-like or +- grass-like, fibrous and/or fleshy, persisting > 1 year	28	Family Group 16
27	Herb; leaves generally thin, generally not persisting (sometimes +- cylindric)	32	Family Group 16
28	Leaves grass-like; styles 3	Melanthiaceae	Family Group 16
28	Leaves sword-like; style 1 or stigmas sessile	29	Family Group 16
29	Ovules many per locule	30	Family Group 16
29	Ovules 2 per locule	31	Family Group 16
30	Perianth creamy white; leaves tough, fibrous, entire or with marginal fibers	Agavaceae	Family Group 16
30	Perianth +- orange or red; leaves fleshy, toothed	Asphodelaceae	Family Group 16
31	Flowers bisexual; fruit a berry	Laxmanniaceae	Family Group 16
31	Flowers generally unisexual (occasionally some bisexual); fruit a papery capsule	Ruscaceae	Family Group 16
32	Sepals and petals clearly different	33	Family Group 16
32	Sepals and petals very similar	36	Family Group 16
33	Plant aquatic, plant body submersed or leaves floating to emergent	Hydrocharitaceae	Family Group 16
33	Plant terrestrial	34	Family Group 16
34	Above-ground stem 0, leaves 2--3(4), all basal; sepals much wider than narrowly linear petals; stamens 3; pedicels twisted, recurved in age; fruit touching soil	Liliaceae	Family Group 16
34	Above-ground stem well developed, +- leafy; sepals much narrower than reniform to generally widely ovate petals; stamens 6, sometimes 3 sterile; pedicels not recurved in age; fruit not touching soil	35	Family Group 16
35	Petals glabrous, withering after 1 day; ovary +- spheric; seeds few	Commelinaceae	Family Group 16
35	Petals hairy, generally persistent several days; ovary +- cylindric; seeds many	Liliaceae	Family Group 16
36	Perianth parts generally green to +- brown (red or white), scale-like	37	Family Group 16
36	Perianth parts petal-like in color and texture	38	Family Group 16
37	Inflorescence of 1--many flowers, variously clustered, subtended individually and/or in small groups by bracts; style 1, stigmas 2--3, slender, spreading; fruit a capsule	Juncaceae	Family Group 16
37	Inflorescence a bractless raceme; stigmas 3 or 6, +- sessile; fruit breaking into mericarps	Juncaginaceae	Family Group 16
38	Inflorescence an umbel (rarely flower solitary or in short, dense raceme); leaves all basal, arising from bulb or corm	39	Family Group 16
38	Inflorescence various, often a raceme or panicle, if flowers in umbels stem +- leafy or with scale-like bracts; leaves basal and/or cauline, underground parts various	41	Family Group 16
39	Fruit a berry	Liliaceae	Family Group 16
39	Fruit a capsule	40	Family Group 16
40	Plant with onion odor; inflorescence bracts 2 (sometimes fused), wholly enclosing immature inflorescence, but generally not formed among pedicels; stems and leaves arising from bulb	Alliaceae	Family Group 16
40	Plant without onion odor; inflorescence bracts 3 or more, not wholly enclosing immature inflorescence, and some formed among pedicels; stems and leaves arising from corm	Themidaceae	Family Group 16
41	Perianth parts proximally +- fused into tube	42	Family Group 16
41	Perianth parts free or nearly so	46	Family Group 16
42	Plant aquatic, floating on water surface, stranded on mud, or rooting in bottom sediments; flowers generally open only 1 day	Pontederiaceae	Family Group 16
42	Plant generally terrestrial, sometimes in damp soil; flowers generally open > 1 day	43	Family Group 16
43	Ovary underground; perianth tube long, stalk-like	Agavaceae	Family Group 16
43	Ovary above-ground; perianth tube not stalk-like	44	Family Group 16
44	Perianth red (yellow)	Asphodelaceae	Family Group 16
44	Perianth white to +- yellow	45	Family Group 16
45	Perianth 45--60 mm; leaves strongly wavy-margined	Agavaceae	Family Group 16
45	Perianth 8--12 mm; leaves not wavy-margined	Tecophilaeaceae	Family Group 16
46	Leaves mostly or all cauline	47	Family Group 16
46	Leaves all basal or basal and cauline	49	Family Group 16
47	Styles 3; flowers bisexual or staminate	Melanthiaceae	Family Group 16
47	Style 1 or stigmas sessile; flowers bisexual	48	Family Group 16
48	Perianth 8--110+ mm	Liliaceae	Family Group 16
48	Perianth 1--7 mm	Ruscaceae	Family Group 16
49	All or some filaments densely hairy	50	Family Group 16
49	Filaments glabrous (or expanded filament base puberulent)	51	Family Group 16
50	Inner 3 filaments hairy	Asphodelaceae	Family Group 16
50	All filaments hairy	Nartheciaceae	Family Group 16
51	Styles 3	52	Family Group 16
51	Style 1 or 0 and stigmas sessile	53	Family Group 16
52	Stem glabrous	Melanthiaceae	Family Group 16
52	Stem glandular	Tofieldiaceae {Triantha occidentalis subsp. occidentalis}	Family Group 16
53	Cauline leaves present, +- well developed	Liliaceae	Family Group 16
53	Cauline leaves 0 or reduced to linear or scale-like bracts	54	Family Group 16
54	Leaf lanceolate or ovate to elliptic or obovate	Liliaceae	Family Group 16
54	Leaf linear	55	Family Group 16
55	Leaves +- flat, often keeled or wavy-margined; stem generally 1 from bulb	Agavaceae	Family Group 16
55	Leaves +- cylindric, hollow; stems several--many from tuber-like rhizome	Asphodelaceae	Family Group 16
1	Stamens > in number than corolla lobes or > 15	2	Family Group 17
1	Stamens = in number to corolla lobes or fewer, generally <= 5	6	Family Group 17
2	Plant spiny or bristly	3	Family Group 17
2	Plant glabrous or +- hairy but not spiny or bristly	4	Family Group 17
3	Stem very fleshy, generally spiny (in some _Opuntia_ species only with glochids); leaves 0 or conic to cylindric, fleshy; petal-like parts many, overlapping in several series	Cactaceae	Family Group 17
3	Stem not or slightly fleshy, bristly with stinging hairs; leaves well developed, with expanded blade; petals 5, in 1 series	Loasaceae	Family Group 17
4	Petals or petal-like stamens many; leaves generally fleshy	Aizoaceae	Family Group 17
4	Petals 4 or 5, petal-like stamens 0; leaves generally thin	5	Family Group 17
5	Herbage glabrous to soft-hairy, sometimes glandular	Ericaceae	Family Group 17
5	Herbage stellate-hairy	Styracaceae	Family Group 17
6	Ovary actually superior, surrounded by but not fused to hardened or winged base of corolla-like calyx that simulates an inferior ovary; style passing through constriction separating calyx base from petal-like portion and joining to top of ovary	Nyctaginaceae	Family Group 17
6	Ovary truly inferior, fused to bases of surrounding flower parts; style not passing through a calyx constriction	7	Family Group 17
7	Leaves alternate or all basal	8	Family Group 17
7	Leaves opposite or whorled	11	Family Group 17
8	Tendrils generally present; flowers unisexual --- plant generally monoecious, leaves palmately veined, generally palmately lobed	Cucurbitaceae	Family Group 17
8	Tendrils 0; flowers bisexual or unisexual	9	Family Group 17
9	Inflorescence a head subtended or +- enclosed by involucre; calyx modified as pappus of bristles, scales, and/or awns, not green and leaf-like	Asteraceae	Family Group 17
9	Inflorescence various but not a head; calyx of unmodified sepals, generally green	10	Family Group 17
10	Stamens alternate corolla lobes; staminodes 0; flowers radial or bilateral; placentas axile or parietal	Campanulaceae	Family Group 17
10	Stamens opposite corolla lobes; staminodes alternate fertile stamens; flowers radial; placentas free-central	Theophrastaceae	Family Group 17
11	Inflorescence a peduncled pair of flowers --- creeping subshrub, twining vine, or erect shrub	12	Family Group 17
11	Inflorescence a head, spike, or cyme, or flowers solitary	13	Family Group 17
12	Flowers sessile; fruits berries, sometimes fused	Caprifoliaceae	Family Group 17
12	Flowers on slender pedicels; fruits capsules, not fused	Linnaeaceae {Linnaea borealis var. longiflora}	Family Group 17
13	Inflorescence a head or dense, head-like spike, subtended or +- enclosed by +- calyx-like involucre	14	Family Group 17
13	Inflorescence various, not subtended or enclosed by +- calyx-like involucre	16	Family Group 17
14	Anthers fused into tube around style	Asteraceae	Family Group 17
14	Anthers free	15	Family Group 17
15	Leaves opposite	Dipsacaceae	Family Group 17
15	Leaves whorled	Rubiaceae	Family Group 17
16	Herb or subshrub	17	Family Group 17
16	Shrub, tree, or woody vine	18	Family Group 17
17	Stamens 4 or 5; corolla radial, not spurred or with proximal bulge	Rubiaceae	Family Group 17
17	Stamens 1 or 3; corolla often bilateral, often spurred or with proximal bulge	Valerianaceae	Family Group 17
18	Inflorescence a raceme or +- interrupted spike or flowers 1--2 in axils	Caprifoliaceae	Family Group 17
18	Inflorescence a head or compound cyme	19	Family Group 17
19	Leaves compound	Adoxaceae	Family Group 17
19	Leaves simple	20	Family Group 17
20	Leaves 3--5-veined from base	Adoxaceae	Family Group 17
20	Leaves 1-veined from base	Rubiaceae	Family Group 17
1	Stamens > in number than corolla lobes	2	Family Group 18
1	Stamens = in number to corolla lobes or fewer	5	Family Group 18
2	Leaf compound --- petals proximally free but strongly adherent and may appear fused	Fabaceae Group 3	Family Group 18
2	Leaf simple, sometimes reduced to linear or scale-like bracts	3	Family Group 18
3	Filaments fused, forming a U-shaped tube around the style --- petals actually free but may appear fused	Polygalaceae	Family Group 18
3	Filaments free	4	Family Group 18
4	Shrub; leaves alternate; anthers dehiscing by pores; ovules many; fruit a capsule	Ericaceae	Family Group 18
